gps_speed_avg,gps_speed_var,gps_speed_max,gps_accel_rms,heading_change_rate,stop_frequency,accel_magnitude_mean,accel_magnitude_var,accel_rms,accel_jerk_mean,accel_peak_freq,gyro_magnitude_mean,gyro_magnitude_var,gyro_rms,cadence_steps_per_min,transit_corridor_overlap,dwell_time_ratio,ble_beacon_proximity,label
25.633,12.131,43.209,1.271,4.683,0.415,0.668,0.554,0.893,2.263,0.051,10.576,48.087,15.902,0.0,0.829,0.52,0.18,bus
20.181,11.689,36.504,0.927,2.978,0.464,0.654,0.592,0.659,1.403,0.151,4.676,54.399,21.081,0.0,0.898,0.254,0.149,bus
28.358,6.313,38.914,0.663,2.663,0.524,0.475,0.114,0.545,1.282,0.037,15.542,47.929,9.997,0.0,0.761,0.446,0.549,bus
17.221,9.316,29.781,0.98,2.341,0.379,0.449,0.392,1.063,3.468,0.077,16.276,24.019,14.041,0.0,0.722,0.534,0.61,bus
20.203,12.702,39.689,0.839,4.098,0.314,0.367,0.205,0.903,2.633,0.113,12.023,55.971,14.899,0.0,0.837,0.537,0.557,bus
15.826,13.288,26.732,0.626,2.252,0.278,0.846,0.303,1.011,1.215,0.051,10.106,41.288,17.161,0.0,0.768,0.261,0.285,bus
24.825,11.232,42.505,1.322,1.681,0.53,0.58,0.459,0.984,1.541,0.178,12.936,28.085,21.205,0.0,0.893,0.482,0.173,bus
17.8,7.833,33.345,0.948,3.227,0.391,0.794,0.368,1.002,1.853,0.153,6.197,15.699,21.031,0.0,0.926,0.488,0.424,bus
17.87,8.631,30.504,1.119,4.872,0.406,0.738,0.368,0.967,2.95,0.13,13.647,55.346,19.572,0.0,0.924,0.362,0.7,bus
37.624,8.395,49.745,1.789,3.085,0.42,0.352,0.486,0.891,1.661,0.258,15.137,31.479,11.964,0.0,0.751,0.326,0.011,bus
23.962,12.736,32.631,1.428,1.013,0.41,0.728,0.327,0.585,3.206,0.068,8.451,27.373,13.478,0.0,0.726,0.473,0.701,bus
24.735,5.941,34.979,1.703,4.653,0.566,0.871,0.143,1.071,1.756,0.146,6.123,43.89,10.076,0.0,0.814,0.536,0.73,bus
27.363,6.379,44.048,1.239,1.41,0.552,0.814,0.197,0.461,1.528,0.209,7.826,50.918,15.226,0.0,0.785,0.388,0.078,bus
30.862,10.627,49.381,1.719,1.021,0.569,0.594,0.576,0.786,1.726,0.04,10.054,14.775,19.393,0.0,0.927,0.388,0.494,bus
32.563,10.273,48.919,1.659,1.692,0.538,0.55,0.189,0.745,3.081,0.035,12.963,34.509,21.646,0.0,0.73,0.47,0.164,bus
24.702,8.498,43.472,1.389,4.844,0.258,0.765,0.235,0.984,1.742,0.181,13.879,32.886,10.843,0.0,0.965,0.401,0.438,bus
31.292,11.147,49.249,1.125,3.15,0.468,0.447,0.504,0.934,1.908,0.254,12.931,57.916,17.967,0.0,0.742,0.472,0.094,bus
33.986,14.507,48.366,1.184,4.319,0.534,0.482,0.247,0.64,1.839,0.101,8.539,18.318,12.198,0.0,0.947,0.441,0.138,bus
29.958,7.191,43.775,1.499,4.417,0.333,0.544,0.22,0.927,1.292,0.146,16.467,40.751,9.152,0.0,0.91,0.444,0.717,bus
30.873,15.236,44.421,1.016,4.868,0.399,0.89,0.434,0.957,2.512,0.221,7.266,48.537,8.548,0.0,0.834,0.423,0.099,bus
18.264,11.437,29.377,1.15,1.721,0.398,0.42,0.467,0.944,1.417,0.015,11.75,36.381,6.677,0.0,0.816,0.489,0.132,bus
25.789,13.864,34.224,0.795,2.212,0.426,0.858,0.104,1.024,1.543,0.269,14.095,28.063,9.619,0.0,0.799,0.421,0.365,bus
14.507,6.434,23.592,0.787,4.336,0.493,0.549,0.275,0.972,2.794,0.205,7.948,36.104,20.947,0.0,0.711,0.357,0.23,bus
29.318,4.625,42.18,1.516,2.765,0.545,0.773,0.502,1.039,3.079,0.069,11.622,50.232,16.62,0.0,0.745,0.31,0.024,bus
29.441,8.588,44.587,1.137,3.169,0.569,0.588,0.514,0.67,1.55,0.266,17.891,50.248,8.226,0.0,0.723,0.359,0.383,bus
27.229,10.799,39.32,1.372,1.867,0.527,0.486,0.562,0.511,3.195,0.051,6.784,29.608,15.115,0.0,0.754,0.427,0.595,bus
23.229,5.116,40.496,1.56,2.974,0.271,0.341,0.113,0.719,2.775,0.032,6.832,55.974,13.534,0.0,0.97,0.421,0.196,bus
28.342,9.33,47.651,1.681,4.237,0.487,0.816,0.23,0.836,2.094,0.076,10.701,56.365,11.492,0.0,0.772,0.491,0.763,bus
19.437,7.075,35.48,1.046,2.515,0.388,0.339,0.225,0.559,2.46,0.106,4.094,20.127,7.504,0.0,0.801,0.459,0.429,bus
25.425,4.261,35.906,0.949,2.724,0.591,0.412,0.253,0.604,2.666,0.095,9.79,18.776,6.788,0.0,0.943,0.439,0.721,bus
33.444,5.049,43.484,0.933,1.263,0.452,0.841,0.391,0.521,2.326,0.201,5.496,53.112,14.433,0.0,0.824,0.285,0.781,bus
25.237,7.034,37.419,1.673,3.463,0.261,0.517,0.322,0.438,1.544,0.264,7.447,57.148,8.56,0.0,0.859,0.534,0.275,bus
30.358,9.358,42.642,1.299,3.759,0.467,0.854,0.33,0.657,2.646,0.214,8.986,31.279,7.372,0.0,0.822,0.306,0.419,bus
31.593,10.442,46.377,1.001,2.251,0.252,0.711,0.203,0.65,1.85,0.269,10.618,14.004,10.159,0.0,0.789,0.285,0.594,bus
16.546,10.621,36.047,0.918,1.314,0.378,0.886,0.563,0.945,1.336,0.148,8.091,22.933,19.732,0.0,0.786,0.393,0.573,bus
23.911,11.346,41.745,0.792,4.816,0.393,0.336,0.264,0.481,1.252,0.206,10.367,52.722,21.369,0.0,0.72,0.473,0.159,bus
16.854,13.291,26.604,1.72,1.822,0.406,0.814,0.229,0.784,1.795,0.158,4.51,40.938,7.196,0.0,0.877,0.533,0.387,bus
29.989,6.738,41.503,0.845,4.74,0.583,0.871,0.159,0.789,2.849,0.119,9.262,17.329,17.759,0.0,0.809,0.263,0.376,bus
20.325,15.465,29.332,1.293,4.258,0.524,0.561,0.123,0.445,1.619,0.129,4.206,14.029,19.306,0.0,0.919,0.532,0.755,bus
28.444,14.793,41.256,1.152,1.079,0.319,0.349,0.544,0.547,2.758,0.017,4.653,41.045,11.062,0.0,0.703,0.327,0.001,bus
36.365,7.971,49.928,0.606,3.229,0.487,0.425,0.499,0.552,2.563,0.065,16.672,58.96,9.081,0.0,0.826,0.299,0.663,bus
34.64,12.092,51.376,1.418,1.283,0.337,0.543,0.512,0.796,3.337,0.053,7.984,26.538,17.798,0.0,0.884,0.364,0.589,bus
25.203,12.486,43.448,0.611,4.618,0.32,0.401,0.206,1.025,1.274,0.168,7.699,58.355,8.436,0.0,0.728,0.351,0.616,bus
35.195,9.981,52.267,1.323,4.869,0.443,0.631,0.187,0.62,1.4,0.235,8.345,24.837,16.508,0.0,0.941,0.531,0.764,bus
15.727,5.464,26.166,1.144,1.863,0.252,0.628,0.407,0.643,2.383,0.103,4.97,22.219,12.299,0.0,0.746,0.47,0.527,bus
26.865,5.89,39.076,1.464,2.365,0.443,0.409,0.597,0.65,2.45,0.211,8.938,36.406,16.001,0.0,0.945,0.279,0.495,bus
17.136,13.614,29.044,0.838,2.955,0.503,0.408,0.528,1.054,2.232,0.12,14.124,19.992,6.016,0.0,0.966,0.317,0.645,bus
34.871,15.703,43.201,0.907,3.77,0.375,0.424,0.174,0.975,1.225,0.269,10.377,34.057,8.461,0.0,0.768,0.271,0.712,bus
29.716,4.699,44.478,0.607,3.38,0.431,0.851,0.55,0.958,3.178,0.003,8.483,47.673,21.871,0.0,0.765,0.49,0.295,bus
28.241,10.535,43.925,1.047,2.789,0.463,0.362,0.562,0.468,3.345,0.09,10.966,48.303,10.357,0.0,0.822,0.533,0.099,bus
25.896,8.014,33.925,1.186,1.629,0.507,0.303,0.286,0.749,1.828,0.186,12.788,29.795,18.922,0.0,0.769,0.262,0.695,bus
30.158,7.309,47.876,1.019,4.1,0.281,0.863,0.244,0.43,1.76,0.006,14.912,59.101,14.647,0.0,0.707,0.494,0.304,bus
31.997,12.526,46.162,1.48,1.146,0.59,0.826,0.209,0.855,2.408,0.204,7.349,52.161,12.907,0.0,0.879,0.296,0.792,bus
26.187,8.265,36.736,0.822,1.769,0.394,0.589,0.515,0.412,1.346,0.189,8.879,50.358,13.045,0.0,0.884,0.281,0.296,bus
18.834,13.844,28.416,1.387,4.127,0.255,0.557,0.533,0.497,1.908,0.028,5.041,22.438,6.742,0.0,0.764,0.255,0.294,bus
28.251,6.541,42.248,0.915,1.19,0.43,0.372,0.166,0.535,2.499,0.211,6.063,32.169,11.753,0.0,0.805,0.51,0.476,bus
17.489,5.482,33.029,1.278,2.096,0.442,0.846,0.478,1.091,2.631,0.215,14.952,10.238,18.836,0.0,0.941,0.476,0.356,bus
26.974,5.668,45.304,1.014,2.471,0.417,0.342,0.532,1.038,1.233,0.178,4.885,46.996,8.191,0.0,0.803,0.288,0.609,bus
22.46,12.133,38.914,1.717,2.767,0.513,0.781,0.436,0.717,3.318,0.234,6.984,38.769,11.506,0.0,0.953,0.309,0.505,bus
20.914,11.868,40.475,1.698,3.803,0.593,0.611,0.572,0.504,3.015,0.118,12.775,39.151,11.346,0.0,0.807,0.347,0.219,bus
14.349,10.957,23.556,1.133,3.781,0.508,0.884,0.156,0.667,2.422,0.299,13.427,16.675,19.494,0.0,0.961,0.301,0.01,bus
32.76,8.134,49.156,1.326,3.249,0.545,0.668,0.391,0.662,1.68,0.038,11.643,24.458,16.236,0.0,0.784,0.45,0.024,bus
27.138,4.773,45.68,0.735,1.703,0.487,0.335,0.116,0.559,3.086,0.086,14.438,33.965,11.099,0.0,0.739,0.298,0.793,bus
18.138,11.845,36.839,0.752,2.515,0.408,0.341,0.291,0.878,3.184,0.094,4.98,41.279,19.709,0.0,0.93,0.436,0.034,bus
16.109,9.168,30.146,1.42,4.694,0.344,0.706,0.447,0.56,1.459,0.031,9.42,56.086,9.201,0.0,0.757,0.485,0.57,bus
16.842,10.515,35.308,1.567,3.871,0.324,0.305,0.13,0.797,1.657,0.093,5.009,33.493,17.664,0.0,0.775,0.251,0.564,bus
21.196,14.484,30.138,1.085,3.654,0.58,0.319,0.108,0.921,1.646,0.005,9.378,13.523,10.294,0.0,0.968,0.445,0.111,bus
15.048,9.848,25.471,0.923,3.685,0.585,0.37,0.28,1.0,2.497,0.151,8.178,18.955,11.202,0.0,0.864,0.288,0.433,bus
16.08,14.618,27.199,0.788,4.856,0.323,0.38,0.32,0.557,1.652,0.08,15.851,37.344,14.219,0.0,0.884,0.254,0.343,bus
23.718,7.227,34.0,1.509,3.339,0.565,0.526,0.593,1.035,2.194,0.193,9.412,52.955,13.618,0.0,0.726,0.357,0.487,bus
23.827,10.66,32.003,1.416,2.381,0.562,0.469,0.599,0.995,1.718,0.051,14.279,41.329,12.223,0.0,0.811,0.357,0.404,bus
32.627,12.816,51.27,0.998,3.375,0.561,0.638,0.253,0.767,3.427,0.125,15.39,12.946,8.829,0.0,0.781,0.347,0.524,bus
33.647,7.149,42.697,0.824,4.805,0.324,0.557,0.589,0.604,3.445,0.188,6.137,19.393,7.872,0.0,0.72,0.364,0.849,bus
26.858,15.238,45.85,0.675,1.73,0.519,0.428,0.401,0.487,1.935,0.015,17.376,31.558,8.207,0.0,0.748,0.402,0.387,bus
14.153,4.072,29.096,1.644,2.933,0.309,0.839,0.229,0.442,2.508,0.157,15.139,11.965,19.487,0.0,0.837,0.52,0.599,bus
35.783,7.041,45.39,1.068,3.138,0.332,0.442,0.299,0.601,1.503,0.154,5.562,28.906,8.243,0.0,0.731,0.534,0.792,bus
31.468,7.559,49.553,1.775,4.707,0.298,0.545,0.178,1.051,2.494,0.004,11.407,16.348,21.825,0.0,0.708,0.453,0.489,bus
30.671,11.719,42.583,1.45,2.114,0.428,0.345,0.505,0.545,2.627,0.088,6.625,53.181,12.347,0.0,0.98,0.531,0.622,bus
24.806,10.963,35.405,0.951,1.479,0.484,0.605,0.541,1.071,1.467,0.006,14.872,41.149,15.842,0.0,0.85,0.5,0.588,bus
17.087,5.224,31.034,1.371,4.168,0.325,0.651,0.174,0.802,1.435,0.007,10.925,21.455,9.096,0.0,0.728,0.398,0.527,bus
29.056,12.903,42.911,1.193,2.057,0.43,0.425,0.153,1.085,2.0,0.203,4.392,13.487,15.25,0.0,0.72,0.32,0.568,bus
28.533,15.567,47.078,1.213,3.667,0.544,0.846,0.278,0.568,1.921,0.047,17.449,53.679,19.913,0.0,0.853,0.409,0.623,bus
28.416,12.315,40.542,1.288,3.976,0.546,0.844,0.151,0.953,2.509,0.077,14.871,47.106,14.347,0.0,0.948,0.4,0.581,bus
31.492,6.618,41.598,1.063,3.183,0.504,0.677,0.383,1.082,3.416,0.138,5.137,15.463,6.659,0.0,0.958,0.473,0.41,bus
19.557,13.075,30.123,1.668,3.406,0.31,0.6,0.249,0.97,1.208,0.044,8.741,12.318,6.924,0.0,0.831,0.45,0.699,bus
22.191,4.214,33.033,1.694,4.727,0.58,0.528,0.343,0.728,2.128,0.28,11.134,36.037,13.993,0.0,0.968,0.52,0.623,bus
19.578,7.999,39.134,0.739,1.385,0.514,0.766,0.503,0.884,2.842,0.178,9.809,31.759,13.977,0.0,0.914,0.258,0.294,bus
34.321,7.925,50.703,1.041,4.106,0.322,0.368,0.461,1.09,2.177,0.272,17.305,56.265,8.95,0.0,0.877,0.429,0.624,bus
20.419,5.355,35.433,0.802,1.541,0.553,0.407,0.234,0.885,2.682,0.13,10.638,45.359,20.21,0.0,0.945,0.294,0.447,bus
15.888,7.328,35.573,1.738,1.247,0.576,0.855,0.587,0.768,3.338,0.092,9.059,12.72,11.81,0.0,0.885,0.304,0.071,bus
26.692,15.177,43.427,1.37,2.569,0.274,0.691,0.145,1.092,1.354,0.163,12.859,24.984,15.342,0.0,0.782,0.356,0.686,bus
29.24,10.337,42.6,0.912,3.689,0.311,0.688,0.335,0.457,1.47,0.257,9.896,23.494,15.63,0.0,0.707,0.496,0.395,bus
26.319,8.372,36.223,0.646,1.705,0.38,0.874,0.514,0.968,2.927,0.222,13.219,22.444,11.093,0.0,0.742,0.291,0.728,bus
18.807,11.717,33.165,0.601,4.655,0.554,0.655,0.403,0.647,2.057,0.08,6.607,39.307,6.825,0.0,0.928,0.533,0.181,bus
18.924,6.954,30.216,1.084,4.142,0.309,0.589,0.246,0.732,3.118,0.29,7.833,33.221,11.181,0.0,0.878,0.473,0.485,bus
24.452,13.48,34.766,1.298,3.455,0.533,0.773,0.248,0.937,1.794,0.222,11.003,41.386,6.977,0.0,0.741,0.27,0.087,bus
21.904,10.064,38.664,1.316,3.337,0.323,0.583,0.136,0.868,2.77,0.049,4.992,57.33,10.875,0.0,0.847,0.358,0.791,bus
27.687,7.445,38.736,0.944,4.518,0.365,0.587,0.105,0.533,3.459,0.027,11.114,50.324,16.896,0.0,0.771,0.266,0.445,bus
17.557,8.549,29.837,0.69,3.151,0.537,0.301,0.1,1.01,1.615,0.075,11.495,48.982,10.282,0.0,0.832,0.374,0.097,bus
35.15,12.155,44.927,1.775,1.117,0.317,0.402,0.362,1.084,2.886,0.24,5.289,52.598,7.404,0.0,0.744,0.264,0.375,bus
14.709,11.973,22.866,1.605,3.784,0.57,0.744,0.431,0.579,2.972,0.025,4.635,36.821,12.135,0.0,0.857,0.318,0.679,bus
37.828,8.933,52.252,1.482,1.176,0.324,0.699,0.329,0.938,2.856,0.219,15.502,20.03,13.435,0.0,0.924,0.527,0.247,bus
22.748,5.672,36.695,0.635,2.867,0.553,0.692,0.375,0.815,3.012,0.041,5.508,15.004,6.441,0.0,0.862,0.266,0.75,bus
17.949,8.925,35.333,0.618,2.312,0.414,0.44,0.48,0.451,1.254,0.232,4.893,13.13,13.616,0.0,0.778,0.397,0.33,bus
28.968,5.369,40.662,1.58,4.786,0.301,0.376,0.433,0.825,2.098,0.096,5.785,40.536,21.521,0.0,0.911,0.483,0.143,bus
14.767,7.319,25.301,0.915,1.566,0.43,0.681,0.396,0.821,2.462,0.108,15.931,13.004,7.037,0.0,0.893,0.365,0.137,bus
16.897,11.893,31.789,1.008,4.967,0.287,0.847,0.393,0.667,2.957,0.142,5.028,16.517,9.581,0.0,0.942,0.493,0.538,bus
29.997,8.703,46.632,0.991,2.497,0.373,0.6,0.382,0.655,1.224,0.157,5.286,37.428,15.92,0.0,0.918,0.28,0.208,bus
16.839,5.712,28.997,1.678,3.126,0.372,0.759,0.428,1.022,1.34,0.013,4.918,32.09,9.662,0.0,0.706,0.51,0.037,bus
24.395,8.553,40.818,1.068,2.829,0.418,0.674,0.339,0.854,2.628,0.185,4.536,30.233,20.874,0.0,0.819,0.361,0.212,bus
21.187,14.065,38.86,1.373,4.248,0.397,0.308,0.239,1.004,2.153,0.189,8.55,43.829,21.092,0.0,0.743,0.394,0.05,bus
28.388,5.312,39.972,1.53,1.178,0.456,0.37,0.13,1.006,2.379,0.22,10.783,12.471,14.428,0.0,0.911,0.309,0.184,bus
33.915,5.502,52.794,1.178,2.879,0.593,0.862,0.183,0.914,1.273,0.043,6.719,17.622,17.144,0.0,0.939,0.499,0.689,bus
31.751,9.725,43.021,0.916,1.034,0.255,0.618,0.591,0.641,2.105,0.247,8.813,56.126,16.359,0.0,0.837,0.479,0.655,bus
30.016,5.601,39.873,1.795,4.0,0.469,0.354,0.17,0.976,3.36,0.267,15.792,14.274,7.413,0.0,0.767,0.476,0.301,bus
15.103,11.298,35.061,1.771,3.942,0.388,0.687,0.493,0.588,1.822,0.299,15.59,53.586,19.965,0.0,0.757,0.3,0.639,bus
