gps_speed_avg,gps_speed_var,gps_speed_max,gps_accel_rms,heading_change_rate,stop_frequency,accel_magnitude_mean,accel_magnitude_var,accel_rms,accel_jerk_mean,accel_peak_freq,gyro_magnitude_mean,gyro_magnitude_var,gyro_rms,cadence_steps_per_min,transit_corridor_overlap,dwell_time_ratio,ble_beacon_proximity,label
34.076,3.726,54.929,1.296,2.921,0.183,0.571,0.29,0.306,1.871,0.292,17.84,74.655,16.001,0.0,0.164,0.082,0.046,car
22.575,3.202,50.259,0.635,1.601,0.079,0.368,0.303,0.695,1.992,0.031,5.53,23.544,8.204,0.0,0.26,0.144,0.004,car
52.391,3.235,70.922,0.481,4.237,0.13,0.521,0.14,0.432,0.983,0.227,11.591,43.036,19.691,0.0,0.21,0.188,0.044,car
28.493,7.671,51.931,1.234,2.149,0.17,0.244,0.261,0.418,1.013,0.199,19.287,30.828,10.337,0.0,0.42,0.122,0.027,car
49.173,4.735,78.89,1.173,3.82,0.092,0.499,0.266,0.744,1.921,0.285,13.584,35.274,12.542,0.0,0.16,0.051,0.002,car
24.398,5.92,54.161,1.004,4.255,0.099,0.517,0.341,0.771,1.146,0.059,5.228,34.357,24.309,0.0,0.286,0.126,0.027,car
24.314,2.361,42.054,0.434,4.078,0.205,0.289,0.319,0.586,1.26,0.217,7.697,49.74,14.692,0.0,0.15,0.168,0.01,car
47.938,9.242,73.937,0.922,4.259,0.17,0.632,0.215,0.663,0.683,0.022,11.81,53.023,18.512,0.0,0.217,0.082,0.049,car
32.397,4.012,42.925,0.943,1.415,0.231,0.282,0.324,0.755,0.602,0.097,12.756,64.692,15.69,0.0,0.394,0.194,0.033,car
41.142,11.283,66.436,1.238,4.939,0.179,0.586,0.321,0.51,1.008,0.056,17.926,56.493,13.122,0.0,0.317,0.141,0.004,car
58.578,7.113,72.058,0.909,5.979,0.173,0.617,0.269,0.53,2.163,0.209,18.2,74.6,24.238,0.0,0.164,0.101,0.005,car
57.284,7.998,86.85,0.627,3.44,0.233,0.316,0.22,0.307,1.466,0.021,13.308,35.504,17.952,0.0,0.074,0.152,0.05,car
41.954,7.251,59.624,0.944,1.747,0.191,0.329,0.169,0.541,1.974,0.037,10.954,45.247,21.829,0.0,0.303,0.139,0.015,car
60.504,8.754,79.272,1.036,1.683,0.13,0.516,0.089,0.592,0.646,0.245,13.273,26.144,24.632,0.0,0.086,0.177,0.007,car
41.585,5.182,54.938,0.779,1.38,0.131,0.387,0.32,0.737,2.054,0.194,17.994,15.476,20.786,0.0,0.374,0.167,0.009,car
56.242,5.08,68.935,0.974,3.071,0.133,0.458,0.322,0.293,2.144,0.07,10.488,27.004,16.059,0.0,0.316,0.153,0.023,car
22.033,10.078,37.067,0.443,5.382,0.188,0.56,0.257,0.671,0.969,0.203,14.08,66.65,19.192,0.0,0.193,0.103,0.002,car
38.264,6.766,53.504,1.26,5.341,0.085,0.63,0.256,0.375,2.126,0.148,6.899,46.728,15.247,0.0,0.344,0.151,0.04,car
49.651,2.491,71.778,0.849,3.939,0.133,0.343,0.311,0.726,0.96,0.108,15.792,59.273,17.442,0.0,0.253,0.093,0.008,car
48.918,7.149,66.296,1.068,2.979,0.164,0.352,0.326,0.768,1.289,0.041,11.726,68.245,16.097,0.0,0.236,0.155,0.011,car
49.235,9.199,67.776,1.229,5.482,0.221,0.612,0.182,0.604,2.062,0.063,7.711,32.865,10.723,0.0,0.443,0.052,0.003,car
62.867,9.517,92.167,0.601,4.781,0.152,0.446,0.33,0.622,1.118,0.134,12.411,58.016,24.874,0.0,0.397,0.187,0.004,car
46.786,9.378,62.531,1.182,3.321,0.067,0.578,0.158,0.275,2.059,0.051,12.576,69.51,11.961,0.0,0.073,0.16,0.044,car
40.327,4.065,61.042,1.064,4.506,0.109,0.336,0.283,0.4,1.942,0.027,9.554,52.943,14.683,0.0,0.226,0.155,0.012,car
57.924,3.898,68.419,1.066,5.77,0.205,0.359,0.104,0.393,1.955,0.172,9.804,27.836,19.181,0.0,0.274,0.131,0.003,car
29.058,5.654,47.084,0.453,2.204,0.235,0.281,0.152,0.435,2.118,0.086,18.449,34.147,7.282,0.0,0.289,0.187,0.041,car
30.306,8.374,43.989,1.207,3.75,0.158,0.585,0.334,0.454,0.77,0.129,14.234,47.045,19.901,0.0,0.09,0.154,0.015,car
22.601,3.398,41.279,0.782,3.038,0.087,0.386,0.055,0.681,1.529,0.234,7.969,64.318,7.723,0.0,0.395,0.172,0.025,car
23.293,11.103,40.701,1.214,5.908,0.225,0.286,0.094,0.39,1.689,0.157,6.785,51.984,7.962,0.0,0.291,0.149,0.011,car
36.303,4.983,47.765,1.014,5.846,0.165,0.353,0.166,0.63,1.37,0.13,12.902,53.576,16.92,0.0,0.171,0.186,0.05,car
22.072,4.165,47.376,1.078,4.016,0.145,0.472,0.138,0.491,1.729,0.171,10.801,34.281,24.464,0.0,0.079,0.148,0.029,car
29.772,3.174,57.192,1.298,1.762,0.14,0.507,0.309,0.505,1.934,0.133,14.29,74.999,13.517,0.0,0.056,0.129,0.017,car
30.454,3.502,46.332,0.474,3.212,0.087,0.321,0.23,0.563,2.192,0.077,8.109,31.937,8.62,0.0,0.07,0.095,0.033,car
62.994,3.587,73.403,0.594,4.614,0.238,0.606,0.224,0.498,1.546,0.264,8.738,66.626,13.884,0.0,0.087,0.071,0.02,car
27.05,7.067,52.93,0.689,2.963,0.193,0.47,0.121,0.641,1.47,0.107,16.695,31.265,9.69,0.0,0.158,0.157,0.034,car
56.115,11.99,78.599,1.137,2.091,0.108,0.388,0.252,0.651,2.031,0.294,6.281,20.152,14.202,0.0,0.422,0.102,0.016,car
56.046,8.683,66.914,1.288,3.781,0.149,0.58,0.335,0.437,1.054,0.202,7.073,15.203,7.405,0.0,0.387,0.197,0.028,car
37.133,7.779,49.708,1.088,5.795,0.243,0.559,0.225,0.532,0.6,0.066,19.507,33.633,9.792,0.0,0.231,0.197,0.029,car
32.652,5.569,55.73,0.886,3.176,0.202,0.273,0.1,0.719,0.808,0.084,8.426,66.36,21.666,0.0,0.238,0.191,0.045,car
40.649,10.556,62.076,0.964,2.318,0.153,0.423,0.154,0.364,0.762,0.161,15.852,59.814,24.982,0.0,0.153,0.134,0.011,car
55.845,10.014,81.991,0.57,2.388,0.078,0.542,0.276,0.767,1.279,0.25,14.536,40.337,11.955,0.0,0.229,0.171,0.004,car
32.164,9.244,46.134,1.134,2.27,0.208,0.375,0.211,0.5,0.697,0.188,17.828,22.941,10.652,0.0,0.412,0.15,0.003,car
23.498,7.009,35.752,0.813,2.923,0.085,0.444,0.133,0.609,1.181,0.003,11.751,65.392,20.562,0.0,0.151,0.148,0.028,car
22.714,8.391,49.34,0.711,3.109,0.202,0.246,0.186,0.488,0.897,0.212,6.214,53.34,11.359,0.0,0.444,0.168,0.025,car
30.02,3.64,48.194,1.249,2.617,0.215,0.459,0.112,0.78,1.975,0.016,11.716,54.947,8.998,0.0,0.442,0.195,0.005,car
61.239,3.785,89.683,0.433,4.122,0.217,0.405,0.23,0.262,1.403,0.016,6.688,71.244,21.455,0.0,0.347,0.177,0.031,car
27.194,3.994,54.404,0.886,3.553,0.214,0.457,0.091,0.449,0.999,0.282,11.659,42.959,7.702,0.0,0.327,0.128,0.018,car
41.592,10.793,55.32,0.739,2.531,0.127,0.366,0.12,0.754,1.808,0.057,15.199,24.353,8.217,0.0,0.176,0.134,0.019,car
42.415,9.353,68.614,1.049,2.275,0.178,0.255,0.186,0.429,0.622,0.061,11.508,47.362,11.312,0.0,0.281,0.053,0.024,car
