gps_speed_avg,gps_speed_var,gps_speed_max,gps_accel_rms,heading_change_rate,stop_frequency,accel_magnitude_mean,accel_magnitude_var,accel_rms,accel_jerk_mean,accel_peak_freq,gyro_magnitude_mean,gyro_magnitude_var,gyro_rms,cadence_steps_per_min,transit_corridor_overlap,dwell_time_ratio,ble_beacon_proximity,label
16.667,1.094,20.472,0.81,3.497,0.082,1.434,0.809,0.809,4.651,1.11,18.342,245.397,39.512,71.6,0.138,0.046,0.005,cycling
11.262,1.091,19.051,0.664,2.574,0.192,1.101,1.361,1.72,5.163,1.428,41.977,128.417,19.099,75.8,0.095,0.093,0.006,cycling
21.153,1.556,24.164,0.736,4.074,0.136,1.114,0.353,0.978,4.398,1.042,26.44,173.311,47.076,94.5,0.083,0.032,0.007,cycling
22.174,3.496,28.735,0.862,2.155,0.075,1.019,0.336,1.523,4.38,1.138,42.633,154.757,26.255,93.6,0.149,0.056,0.045,cycling
11.888,2.594,17.613,0.501,5.428,0.091,0.631,0.472,1.39,4.794,1.371,19.657,94.66,54.937,66.5,0.305,0.06,0.023,cycling
14.245,1.061,18.705,0.641,5.304,0.08,1.018,1.386,1.307,2.936,1.155,37.389,188.302,24.316,69.5,0.141,0.027,0.007,cycling
16.822,3.694,19.109,0.876,4.199,0.135,1.115,0.84,1.813,2.36,1.039,30.867,155.224,33.23,94.0,0.302,0.087,0.009,cycling
23.77,1.986,27.853,0.343,5.045,0.136,1.03,0.376,1.864,2.192,1.37,23.086,82.02,31.791,88.9,0.283,0.082,0.027,cycling
12.874,3.719,18.174,0.365,3.9,0.032,1.521,1.038,1.762,3.133,1.141,28.62,210.889,36.485,86.1,0.291,0.085,0.026,cycling
11.655,3.409,18.995,0.325,6.092,0.081,0.696,0.759,1.537,3.811,1.007,31.307,186.715,44.716,69.6,0.334,0.05,0.01,cycling
11.793,3.074,13.816,0.607,5.609,0.146,1.229,0.422,1.33,5.913,1.249,44.008,198.071,21.729,64.1,0.326,0.026,0.031,cycling
21.46,2.334,27.843,0.798,3.814,0.187,1.543,0.466,0.853,5.625,1.19,32.277,213.914,32.263,77.7,0.125,0.04,0.005,cycling
23.192,3.98,31.172,0.799,5.634,0.121,0.683,0.791,1.833,5.567,1.414,28.699,206.891,37.825,76.0,0.235,0.088,0.017,cycling
21.268,3.611,27.376,0.695,2.925,0.04,1.009,0.882,1.525,4.788,1.008,21.997,162.392,26.555,86.6,0.347,0.142,0.025,cycling
12.466,1.277,15.342,0.347,4.509,0.141,0.692,1.049,1.868,3.06,1.061,32.291,232.148,27.691,72.4,0.171,0.103,0.03,cycling
20.612,1.073,24.975,0.792,6.42,0.175,0.675,1.393,1.024,3.996,1.484,32.959,245.645,19.488,76.4,0.218,0.055,0.024,cycling
17.3,2.079,23.94,0.779,5.824,0.196,1.083,0.473,0.908,3.521,1.063,32.908,168.017,49.632,94.6,0.248,0.045,0.037,cycling
19.021,2.579,23.331,0.9,3.261,0.161,1.408,1.381,1.355,4.927,1.41,30.259,98.361,35.047,76.3,0.303,0.075,0.03,cycling
16.514,2.45,23.126,0.59,3.926,0.117,1.194,1.033,1.779,4.833,1.07,21.374,225.925,29.925,67.6,0.308,0.036,0.03,cycling
16.673,3.574,21.547,0.539,6.49,0.068,0.622,0.937,1.578,5.616,1.438,20.255,97.032,50.753,67.1,0.169,0.046,0.005,cycling
23.44,2.98,30.632,0.48,3.938,0.068,1.045,0.901,1.515,2.778,1.304,18.602,193.922,36.501,90.3,0.109,0.131,0.037,cycling
19.576,3.946,23.158,0.872,2.89,0.191,0.726,0.947,1.463,4.068,1.274,25.206,190.401,39.677,90.1,0.331,0.051,0.014,cycling
19.279,2.669,21.496,0.606,6.374,0.021,1.159,0.465,1.262,2.923,1.017,34.718,125.177,25.007,90.6,0.153,0.102,0.009,cycling
21.507,2.28,24.125,0.706,2.74,0.146,1.243,0.901,1.434,3.339,1.458,20.857,202.456,35.199,84.7,0.19,0.053,0.039,cycling
12.446,1.071,17.12,0.591,6.703,0.114,1.33,1.02,1.788,2.385,1.123,31.077,130.478,24.538,73.2,0.236,0.101,0.005,cycling
22.576,1.464,27.232,0.682,2.986,0.152,1.014,0.98,0.936,2.077,1.069,43.8,186.315,51.871,78.0,0.201,0.028,0.047,cycling
18.648,2.765,24.93,0.472,2.474,0.099,1.538,0.694,1.186,4.007,1.046,34.66,217.139,24.679,93.8,0.271,0.037,0.011,cycling
21.782,2.948,29.699,0.735,4.648,0.178,0.612,0.984,1.408,5.149,1.21,29.36,173.77,18.514,77.7,0.086,0.063,0.027,cycling
