gps_speed_avg,gps_speed_var,gps_speed_max,gps_accel_rms,heading_change_rate,stop_frequency,accel_magnitude_mean,accel_magnitude_var,accel_rms,accel_jerk_mean,accel_peak_freq,gyro_magnitude_mean,gyro_magnitude_var,gyro_rms,cadence_steps_per_min,transit_corridor_overlap,dwell_time_ratio,ble_beacon_proximity,label
62.94,7.363,80.155,0.725,1.291,0.258,0.353,0.293,0.355,1.412,0.039,9.068,18.575,7.476,0.0,0.974,0.409,0.724,metro
69.717,18.323,102.085,1.211,1.144,0.338,0.457,0.217,0.211,1.245,0.085,8.97,23.354,4.371,0.0,0.96,0.246,0.159,metro
39.175,8.826,55.324,1.088,1.055,0.309,0.407,0.087,0.631,1.578,0.068,9.517,25.53,4.362,0.0,0.875,0.463,0.666,metro
54.536,17.344,86.328,1.312,1.409,0.177,0.207,0.227,0.495,1.767,0.124,5.707,10.291,9.036,0.0,0.953,0.4,0.164,metro
66.066,12.293,91.3,0.694,1.359,0.337,0.26,0.139,0.646,1.476,0.075,8.737,10.115,11.587,0.0,0.897,0.202,0.326,metro
60.926,11.796,85.76,0.849,2.25,0.436,0.473,0.268,0.589,1.149,0.069,8.092,29.118,13.484,0.0,0.953,0.226,0.519,metro
45.454,6.403,69.359,0.587,0.498,0.181,0.335,0.091,0.443,1.581,0.052,6.505,9.508,5.563,0.0,0.959,0.497,0.231,metro
59.038,8.126,77.862,1.546,2.101,0.381,0.525,0.224,0.452,1.469,0.083,5.538,28.147,12.1,0.0,0.882,0.25,0.385,metro
53.147,23.492,87.354,0.771,0.986,0.407,0.183,0.232,0.226,0.519,0.141,7.448,23.177,5.102,0.0,0.965,0.262,0.845,metro
60.533,11.259,92.218,0.545,2.24,0.408,0.177,0.281,0.348,0.845,0.134,6.158,24.691,6.07,0.0,0.928,0.37,0.169,metro
39.685,22.571,69.448,1.176,1.338,0.402,0.157,0.078,0.344,0.892,0.075,2.423,23.466,3.553,0.0,0.939,0.413,0.306,metro
61.291,19.173,78.84,1.25,1.835,0.182,0.189,0.283,0.494,1.524,0.106,9.554,24.36,3.73,0.0,0.949,0.433,0.819,metro
62.955,10.739,94.589,1.505,1.854,0.347,0.151,0.181,0.361,1.439,0.07,2.072,22.098,12.277,0.0,0.932,0.326,0.442,metro
53.568,15.232,86.453,1.476,2.319,0.43,0.191,0.078,0.271,1.168,0.049,5.624,21.508,13.164,0.0,0.917,0.337,0.168,metro
41.616,17.37,58.44,0.865,0.844,0.203,0.162,0.083,0.273,0.835,0.098,6.516,13.359,4.44,0.0,0.899,0.464,0.132,metro
46.602,15.06,63.402,0.829,0.279,0.217,0.522,0.259,0.41,1.639,0.164,7.965,17.839,11.288,0.0,0.972,0.214,0.632,metro
39.661,16.263,59.201,1.548,2.062,0.444,0.491,0.058,0.235,0.833,0.038,2.998,17.248,3.541,0.0,0.991,0.427,0.447,metro
64.505,17.151,88.27,1.182,1.556,0.206,0.549,0.117,0.652,0.874,0.011,7.759,18.519,6.032,0.0,0.869,0.383,0.545,metro
69.681,17.913,95.112,0.978,0.276,0.211,0.237,0.059,0.526,0.655,0.125,9.95,20.548,4.43,0.0,0.861,0.269,0.535,metro
70.739,7.299,98.03,1.537,0.616,0.336,0.341,0.051,0.615,1.489,0.186,2.796,15.28,10.515,0.0,0.98,0.37,0.113,metro
35.301,16.494,50.476,0.607,1.552,0.399,0.39,0.219,0.601,0.933,0.126,2.522,5.963,12.235,0.0,0.918,0.355,0.691,metro
47.93,5.423,72.929,0.529,1.839,0.323,0.465,0.082,0.463,1.237,0.017,6.846,6.5,6.607,0.0,0.976,0.366,0.417,metro
60.046,7.981,75.294,1.273,1.059,0.346,0.186,0.07,0.444,1.169,0.099,7.621,16.391,9.082,0.0,0.985,0.272,0.925,metro
57.879,23.589,92.625,1.049,2.238,0.175,0.383,0.148,0.67,1.486,0.106,9.971,22.657,5.376,0.0,0.863,0.371,0.535,metro
40.53,21.272,69.083,0.62,2.164,0.392,0.216,0.056,0.382,0.594,0.014,6.417,20.83,8.015,0.0,0.992,0.436,0.226,metro
49.844,21.993,84.175,0.535,0.66,0.377,0.364,0.134,0.413,0.672,0.112,2.435,20.13,12.557,0.0,0.862,0.276,0.727,metro
32.17,6.572,66.611,0.662,1.292,0.377,0.313,0.097,0.324,1.445,0.051,6.925,19.38,4.225,0.0,0.93,0.331,0.326,metro
70.235,23.115,88.981,0.609,0.312,0.246,0.252,0.269,0.514,1.085,0.033,2.68,18.539,10.652,0.0,0.981,0.291,0.873,metro
47.088,6.027,66.528,1.39,2.032,0.417,0.304,0.147,0.241,1.364,0.124,7.753,15.487,13.426,0.0,0.895,0.294,0.654,metro
57.491,12.587,92.46,0.849,1.887,0.355,0.359,0.22,0.654,1.724,0.104,2.282,7.931,9.297,0.0,0.947,0.289,0.333,metro
53.957,17.639,69.338,0.988,0.93,0.247,0.535,0.072,0.697,0.781,0.008,7.901,25.906,13.343,0.0,0.891,0.203,0.648,metro
35.686,20.53,51.198,0.702,0.236,0.416,0.44,0.148,0.494,1.672,0.092,4.524,23.203,3.937,0.0,0.99,0.491,0.334,metro
59.9,17.775,87.508,1.067,0.319,0.369,0.228,0.081,0.479,1.516,0.043,7.164,22.817,5.612,0.0,0.928,0.266,0.218,metro
54.527,16.086,81.899,1.106,1.772,0.3,0.223,0.079,0.496,1.22,0.171,5.088,12.855,3.975,0.0,0.881,0.421,0.922,metro
73.93,13.558,100.394,0.724,2.405,0.245,0.463,0.12,0.443,1.468,0.115,4.197,27.756,9.405,0.0,0.861,0.467,0.882,metro
40.851,22.2,61.752,0.877,1.367,0.296,0.324,0.245,0.465,0.617,0.182,9.191,26.728,9.433,0.0,0.921,0.211,0.655,metro
41.949,21.406,72.948,1.041,1.629,0.15,0.465,0.168,0.551,0.783,0.042,5.782,11.753,9.283,0.0,0.936,0.409,0.676,metro
59.177,14.525,88.144,1.506,1.861,0.441,0.4,0.237,0.573,0.584,0.013,6.909,17.456,4.598,0.0,0.945,0.434,0.352,metro
60.491,13.001,83.842,0.964,0.794,0.312,0.226,0.193,0.313,1.037,0.074,8.129,18.225,10.092,0.0,0.94,0.492,0.18,metro
70.915,22.747,94.752,1.104,0.306,0.338,0.271,0.272,0.487,0.609,0.035,4.159,29.668,6.06,0.0,0.913,0.225,0.12,metro
59.792,16.546,81.097,1.085,1.176,0.182,0.186,0.067,0.595,1.583,0.194,3.264,25.3,3.138,0.0,0.933,0.223,0.263,metro
70.503,5.221,90.148,1.404,1.225,0.307,0.276,0.121,0.45,0.966,0.019,8.272,9.74,9.568,0.0,0.897,0.451,0.75,metro
35.217,19.523,63.445,1.407,2.259,0.304,0.399,0.097,0.386,0.643,0.1,5.46,27.662,10.923,0.0,0.879,0.489,0.612,metro
74.199,12.5,106.635,0.866,0.235,0.436,0.53,0.145,0.381,1.68,0.193,3.712,14.285,4.717,0.0,0.994,0.445,0.938,metro
32.923,6.099,60.879,1.063,1.841,0.385,0.501,0.054,0.452,1.773,0.148,5.563,15.234,12.055,0.0,0.926,0.392,0.795,metro
50.496,24.938,84.192,0.877,0.387,0.428,0.458,0.11,0.224,1.239,0.168,2.12,8.77,5.498,0.0,0.861,0.218,0.411,metro
40.728,22.009,68.548,1.333,2.311,0.308,0.404,0.165,0.572,0.641,0.192,9.532,11.712,4.129,0.0,0.95,0.254,0.5,metro
62.225,20.57,78.869,0.872,2.287,0.186,0.505,0.29,0.399,1.285,0.074,7.575,12.73,12.51,0.0,0.92,0.44,0.809,metro
57.555,13.828,79.852,0.686,0.588,0.25,0.313,0.079,0.502,1.331,0.079,2.851,17.826,9.527,0.0,0.988,0.481,0.891,metro
45.126,6.673,78.892,1.556,2.039,0.212,0.234,0.23,0.663,1.783,0.196,2.21,15.816,6.028,0.0,0.868,0.239,0.92,metro
46.309,9.873,62.806,0.925,1.553,0.424,0.501,0.203,0.573,1.068,0.041,6.261,6.846,6.655,0.0,0.945,0.331,0.35,metro
64.737,8.671,95.429,0.94,0.359,0.307,0.39,0.2,0.452,0.772,0.032,9.881,9.699,8.632,0.0,0.877,0.381,0.885,metro
63.622,23.708,94.485,0.903,1.273,0.376,0.41,0.09,0.31,0.648,0.147,6.795,19.148,8.332,0.0,0.868,0.403,0.669,metro
70.044,7.48,96.439,0.508,0.721,0.419,0.166,0.057,0.207,1.491,0.035,9.167,28.802,5.636,0.0,0.907,0.392,0.654,metro
53.513,24.22,71.899,1.554,2.026,0.217,0.293,0.299,0.557,1.242,0.052,5.211,23.875,3.928,0.0,0.922,0.332,0.711,metro
54.464,13.445,69.552,0.733,1.35,0.372,0.363,0.058,0.654,1.297,0.049,8.636,19.326,8.615,0.0,0.861,0.484,0.38,metro
38.675,10.666,54.764,0.804,1.464,0.317,0.195,0.21,0.637,1.413,0.086,7.363,6.474,6.116,0.0,0.881,0.33,0.863,metro
58.599,13.447,78.627,0.724,2.038,0.161,0.442,0.299,0.447,1.552,0.172,6.74,19.966,6.389,0.0,0.854,0.228,0.737,metro
37.223,19.063,66.148,0.53,1.57,0.256,0.345,0.177,0.279,1.731,0.006,6.679,7.48,6.609,0.0,0.853,0.324,0.664,metro
64.238,8.826,98.303,1.409,1.823,0.348,0.212,0.202,0.514,1.731,0.138,9.744,18.937,12.18,0.0,0.857,0.294,0.231,metro
51.389,14.16,76.745,1.159,1.263,0.155,0.464,0.266,0.524,0.974,0.087,6.72,15.504,11.157,0.0,0.96,0.264,0.866,metro
74.88,24.195,107.892,1.122,1.772,0.427,0.156,0.14,0.259,1.797,0.007,8.528,12.594,10.064,0.0,0.919,0.459,0.507,metro
58.239,19.243,82.434,0.79,1.236,0.381,0.391,0.273,0.637,1.122,0.049,6.053,24.502,7.985,0.0,0.896,0.253,0.79,metro
39.11,8.069,73.922,0.8,0.605,0.276,0.233,0.281,0.643,1.27,0.021,8.729,14.49,11.26,0.0,0.874,0.45,0.835,metro
45.346,8.237,71.736,1.534,2.452,0.229,0.274,0.08,0.576,1.516,0.087,9.908,20.786,11.157,0.0,0.883,0.318,0.507,metro
41.88,7.953,73.213,1.191,1.674,0.197,0.54,0.19,0.377,1.319,0.078,4.409,26.098,6.591,0.0,0.958,0.248,0.78,metro
59.078,16.276,86.712,1.266,0.343,0.26,0.157,0.072,0.623,0.626,0.198,4.819,24.68,8.204,0.0,0.912,0.489,0.713,metro
41.423,11.314,67.284,1.224,0.337,0.276,0.28,0.291,0.484,0.888,0.028,4.295,27.497,12.891,0.0,0.973,0.343,0.3,metro
70.247,22.974,97.719,1.241,2.283,0.278,0.428,0.118,0.639,1.3,0.06,7.489,24.014,7.425,0.0,0.978,0.282,0.134,metro
74.15,23.382,102.428,0.504,0.971,0.165,0.164,0.288,0.418,1.27,0.128,5.559,9.578,9.178,0.0,0.861,0.476,0.234,metro
35.879,21.081,67.29,0.576,0.633,0.324,0.402,0.184,0.406,1.157,0.097,8.75,21.867,7.571,0.0,0.998,0.343,0.257,metro
44.458,14.616,64.271,1.31,0.582,0.196,0.17,0.128,0.246,1.2,0.081,2.293,29.73,3.078,0.0,0.863,0.229,0.24,metro
46.3,20.957,65.499,1.275,1.028,0.272,0.543,0.193,0.427,1.648,0.11,5.758,25.367,12.82,0.0,0.999,0.321,0.941,metro
53.208,11.656,77.189,1.583,2.496,0.44,0.283,0.072,0.492,1.287,0.156,4.31,12.452,12.179,0.0,0.862,0.405,0.152,metro
59.357,12.769,91.44,1.313,0.746,0.291,0.414,0.259,0.672,1.096,0.155,8.94,6.162,11.977,0.0,0.958,0.4,0.685,metro
67.055,24.418,101.981,1.348,1.53,0.378,0.368,0.067,0.6,1.182,0.013,7.636,29.51,9.73,0.0,0.99,0.208,0.584,metro
35.944,23.71,56.703,1.205,1.858,0.224,0.229,0.167,0.342,1.43,0.035,8.115,20.905,7.509,0.0,0.86,0.225,0.173,metro
61.131,22.815,80.897,0.572,0.708,0.19,0.288,0.127,0.228,1.154,0.16,7.773,22.755,8.57,0.0,0.888,0.468,0.891,metro
54.46,11.39,77.403,0.594,1.881,0.29,0.454,0.155,0.647,0.665,0.197,2.146,25.943,10.801,0.0,0.894,0.389,0.254,metro
46.285,7.661,71.763,0.839,0.337,0.4,0.35,0.152,0.439,1.144,0.122,2.366,5.973,13.849,0.0,0.922,0.449,0.505,metro
40.986,23.554,68.348,0.871,1.786,0.233,0.188,0.185,0.665,1.439,0.103,8.193,5.043,5.646,0.0,0.96,0.424,0.287,metro
68.133,19.06,84.588,0.853,1.001,0.318,0.545,0.258,0.542,1.464,0.176,4.126,5.301,11.165,0.0,0.98,0.287,0.899,metro
41.379,13.221,57.582,0.83,0.943,0.202,0.416,0.212,0.54,1.486,0.066,6.263,29.228,4.039,0.0,0.896,0.237,0.255,metro
66.371,12.804,96.4,1.008,1.931,0.196,0.397,0.24,0.527,0.506,0.042,7.798,22.774,4.107,0.0,0.935,0.4,0.248,metro
74.466,14.087,99.057,0.502,1.819,0.243,0.3,0.174,0.65,1.327,0.161,6.278,9.486,7.774,0.0,0.873,0.495,0.749,metro
44.397,21.929,76.918,0.563,0.702,0.43,0.448,0.148,0.405,1.208,0.004,2.413,18.833,5.706,0.0,0.973,0.22,0.404,metro
55.922,21.579,73.604,1.243,1.981,0.194,0.48,0.113,0.591,1.494,0.055,8.85,6.928,13.495,0.0,0.899,0.228,0.423,metro
51.972,24.235,80.78,1.054,0.715,0.421,0.372,0.29,0.34,1.772,0.155,2.641,13.186,3.275,0.0,0.919,0.273,0.283,metro
67.807,14.515,85.276,1.297,1.699,0.359,0.383,0.213,0.328,1.763,0.036,3.946,14.553,6.908,0.0,0.897,0.243,0.254,metro
35.719,17.929,52.443,1.186,1.525,0.175,0.378,0.299,0.415,1.224,0.105,9.687,11.24,8.226,0.0,0.966,0.284,0.709,metro
69.033,16.677,93.048,1.015,2.279,0.431,0.411,0.098,0.604,0.929,0.02,6.485,17.126,7.09,0.0,0.958,0.446,0.548,metro
40.613,8.795,67.185,1.344,1.265,0.31,0.158,0.098,0.584,1.455,0.169,2.152,10.676,5.155,0.0,0.906,0.223,0.781,metro
42.901,13.912,77.739,0.969,2.102,0.315,0.354,0.228,0.428,0.998,0.197,3.555,16.146,13.788,0.0,0.853,0.32,0.75,metro
42.321,16.029,71.898,0.843,0.633,0.38,0.349,0.052,0.546,1.119,0.166,8.337,22.503,13.358,0.0,0.932,0.497,0.552,metro
63.727,15.189,90.142,0.684,0.37,0.387,0.376,0.193,0.447,0.697,0.171,7.775,14.383,5.181,0.0,0.906,0.487,0.565,metro
54.189,9.457,83.186,1.508,1.169,0.154,0.156,0.133,0.634,1.129,0.115,5.401,9.393,8.503,0.0,0.947,0.476,0.473,metro
49.056,6.131,69.015,0.794,0.489,0.153,0.433,0.128,0.694,1.258,0.021,5.618,29.873,5.138,0.0,0.893,0.371,0.411,metro
42.766,13.427,75.767,0.984,2.289,0.269,0.348,0.262,0.327,1.361,0.077,2.717,8.143,5.132,0.0,0.926,0.323,0.352,metro
45.167,9.55,65.716,1.214,0.712,0.167,0.283,0.109,0.544,0.992,0.094,7.294,12.558,13.594,0.0,0.926,0.417,0.353,metro
48.077,15.549,68.283,1.021,2.277,0.369,0.158,0.064,0.339,1.671,0.065,9.169,9.951,11.807,0.0,0.884,0.36,0.877,metro
36.977,22.708,53.37,1.242,1.355,0.199,0.358,0.153,0.296,0.95,0.177,7.827,7.007,4.384,0.0,0.868,0.488,0.934,metro
43.175,24.081,76.786,0.555,0.519,0.229,0.168,0.239,0.685,1.208,0.067,2.559,6.904,6.699,0.0,0.949,0.297,0.182,metro
38.636,12.23,63.094,0.961,0.793,0.152,0.488,0.24,0.543,1.637,0.107,5.565,7.97,4.91,0.0,0.864,0.407,0.677,metro
44.009,20.668,75.789,1.208,1.726,0.192,0.331,0.147,0.224,0.74,0.128,5.627,14.888,11.761,0.0,0.981,0.211,0.275,metro
37.477,14.319,63.696,1.46,0.306,0.428,0.269,0.067,0.357,1.353,0.147,4.061,7.273,5.415,0.0,0.932,0.215,0.778,metro
56.136,11.09,75.982,1.408,0.204,0.205,0.329,0.111,0.294,0.566,0.1,2.91,5.783,10.577,0.0,0.884,0.243,0.158,metro
43.448,18.672,59.0,0.978,0.673,0.339,0.232,0.094,0.332,1.625,0.197,3.15,9.287,4.564,0.0,0.879,0.243,0.825,metro
