gps_speed_avg,gps_speed_var,gps_speed_max,gps_accel_rms,heading_change_rate,stop_frequency,accel_magnitude_mean,accel_magnitude_var,accel_rms,accel_jerk_mean,accel_peak_freq,gyro_magnitude_mean,gyro_magnitude_var,gyro_rms,cadence_steps_per_min,transit_corridor_overlap,dwell_time_ratio,ble_beacon_proximity,label
23.629,2.813,26.462,0.545,5.118,0.085,1.164,1.328,0.862,4.845,1.074,35.709,185.823,47.528,64.8,0.289,0.146,0.024,cycling
29.39,1.144,32.661,0.426,5.237,0.173,0.463,0.135,0.357,2.354,0.066,17.87,20.497,14.917,0.0,0.101,0.078,0.031,scooter
0.485,0.005,0.046,0.023,0.463,1.0,0.063,0.009,0.02,0.103,0.0,1.702,0.709,0.533,0.0,0.123,1.0,0.087,stationary
11.02,1.835,15.298,0.508,7.399,0.13,0.95,0.558,1.481,5.672,1.173,34.645,174.436,35.397,81.9,0.099,0.138,0.03,cycling
22.049,1.682,29.397,0.791,3.956,0.244,0.242,0.109,0.492,2.297,0.083,16.676,74.689,10.411,0.0,0.347,0.086,0.01,scooter
34.549,3.581,51.023,1.188,5.725,0.225,0.304,0.203,0.647,1.93,0.051,6.731,74.871,13.15,0.0,0.225,0.145,0.044,car
26.858,15.238,45.85,0.675,1.73,0.519,0.428,0.401,0.487,1.935,0.015,17.376,31.558,8.207,0.0,0.748,0.402,0.387,bus
3.559,0.344,4.956,0.384,4.602,0.083,1.237,2.926,3.042,6.482,1.633,49.004,296.127,38.806,114.2,0.17,0.072,0.019,walking
28.792,0.758,34.495,0.731,4.317,0.237,0.378,0.135,0.46,2.22,0.176,15.518,82.206,13.783,0.0,0.181,0.139,0.028,scooter
18.353,2.794,23.585,0.877,2.498,0.154,0.256,0.103,0.688,1.851,0.274,11.51,59.437,10.504,0.0,0.187,0.161,0.006,scooter
59.829,4.647,73.402,0.417,1.937,0.23,0.416,0.102,0.29,1.037,0.125,9.927,24.199,8.509,0.0,0.289,0.122,0.046,car
24.398,5.92,54.161,1.004,4.255,0.099,0.517,0.341,0.771,1.146,0.059,5.228,34.357,24.309,0.0,0.286,0.126,0.027,car
4.565,0.172,6.343,0.145,11.333,0.105,1.823,2.718,2.144,7.545,1.696,34.276,343.38,59.645,123.6,0.042,0.054,0.046,walking
37.17,11.855,56.789,1.136,0.495,0.322,0.223,0.148,0.388,0.639,0.148,3.628,10.771,12.656,0.0,0.917,0.355,0.51,metro
0.28,0.023,0.134,0.007,0.126,1.0,0.003,0.003,0.065,0.087,0.0,0.764,0.878,1.505,0.0,0.082,1.0,0.073,stationary
