gps_speed_avg,gps_speed_var,gps_speed_max,gps_accel_rms,heading_change_rate,stop_frequency,accel_magnitude_mean,accel_magnitude_var,accel_rms,accel_jerk_mean,accel_peak_freq,gyro_magnitude_mean,gyro_magnitude_var,gyro_rms,cadence_steps_per_min,transit_corridor_overlap,dwell_time_ratio,ble_beacon_proximity,label
19.907,2.106,29.771,1.186,2.329,0.218,0.333,0.191,0.261,1.254,0.074,14.481,75.666,12.135,0.0,0.184,0.119,0.016,scooter
14.403,2.477,23.69,0.722,3.749,0.159,0.205,0.197,0.575,2.296,0.051,21.647,22.891,20.967,0.0,0.122,0.159,0.031,scooter
16.197,1.194,23.623,0.6,4.672,0.209,0.35,0.152,0.369,1.783,0.149,18.564,79.915,10.724,0.0,0.364,0.174,0.017,scooter
13.543,1.447,22.199,1.114,5.475,0.227,0.531,0.134,0.39,1.484,0.189,16.48,30.207,28.543,0.0,0.245,0.188,0.017,scooter
26.804,2.521,30.097,0.975,5.394,0.167,0.405,0.113,0.316,0.968,0.39,14.715,46.683,16.264,0.0,0.169,0.113,0.004,scooter
19.394,2.91,22.69,0.833,5.235,0.128,0.292,0.242,0.651,1.09,0.307,13.047,53.85,24.828,0.0,0.078,0.151,0.035,scooter
13.141,0.786,17.436,1.158,2.821,0.21,0.445,0.16,0.635,1.953,0.17,23.836,35.764,11.042,0.0,0.376,0.183,0.0,scooter
30.515,2.214,40.257,0.651,5.565,0.076,0.507,0.143,0.589,2.007,0.072,21.449,84.649,17.202,0.0,0.326,0.193,0.01,scooter
23.187,1.366,34.521,0.56,3.306,0.185,0.516,0.214,0.666,2.253,0.335,12.998,66.307,21.836,0.0,0.364,0.09,0.048,scooter
27.869,1.182,31.731,0.618,5.653,0.062,0.267,0.25,0.459,1.969,0.345,21.703,31.033,29.644,0.0,0.321,0.118,0.021,scooter
12.786,0.507,17.457,0.889,5.4,0.056,0.519,0.229,0.732,2.215,0.341,12.348,70.515,12.639,0.0,0.128,0.072,0.024,scooter
14.261,1.27,22.404,0.498,3.548,0.248,0.51,0.217,0.382,2.412,0.148,21.806,36.608,30.437,0.0,0.079,0.077,0.002,scooter
14.193,1.736,19.219,1.172,4.415,0.053,0.452,0.149,0.73,0.825,0.247,17.169,45.402,21.332,0.0,0.381,0.186,0.039,scooter
29.606,0.575,33.313,0.491,3.69,0.2,0.546,0.236,0.283,1.855,0.087,14.204,38.084,17.275,0.0,0.315,0.144,0.048,scooter
12.924,2.416,21.019,1.11,3.557,0.24,0.427,0.131,0.367,1.073,0.09,10.319,47.798,29.999,0.0,0.103,0.089,0.042,scooter
16.941,2.384,26.843,0.933,2.01,0.084,0.444,0.184,0.704,1.968,0.137,11.434,84.638,31.988,0.0,0.1,0.094,0.002,scooter
27.245,1.91,36.695,0.715,3.661,0.132,0.423,0.221,0.559,0.994,0.257,12.076,84.14,22.41,0.0,0.249,0.141,0.045,scooter
12.848,1.472,20.35,0.564,3.662,0.226,0.208,0.158,0.624,1.697,0.283,9.872,28.874,26.669,0.0,0.205,0.12,0.029,scooter
30.014,3.371,41.079,0.963,2.654,0.104,0.248,0.1,0.656,2.483,0.108,24.027,85.843,21.257,0.0,0.359,0.141,0.028,scooter
25.458,3.377,36.46,1.193,2.748,0.084,0.25,0.197,0.462,1.389,0.064,9.972,78.285,26.302,0.0,0.24,0.126,0.041,scooter
23.969,1.231,28.596,0.683,4.026,0.106,0.556,0.099,0.732,2.481,0.122,22.266,21.903,17.013,0.0,0.319,0.194,0.033,scooter
27.927,0.894,35.503,0.931,2.539,0.195,0.508,0.212,0.675,1.883,0.262,19.378,89.176,11.425,0.0,0.352,0.199,0.032,scooter
