gps_speed_avg,gps_speed_var,gps_speed_max,gps_accel_rms,heading_change_rate,stop_frequency,accel_magnitude_mean,accel_magnitude_var,accel_rms,accel_jerk_mean,accel_peak_freq,gyro_magnitude_mean,gyro_magnitude_var,gyro_rms,cadence_steps_per_min,transit_corridor_overlap,dwell_time_ratio,ble_beacon_proximity,label
0.43,0.028,0.041,0.042,0.225,1.0,0.046,0.008,0.013,0.077,0.0,0.164,0.699,1.549,0.0,0.098,1.0,0.096,stationary
0.559,0.03,0.836,0.049,0.649,1.0,0.052,0.009,0.064,0.018,0.0,1.222,0.36,0.316,0.0,0.109,1.0,0.095,stationary
0.224,0.012,0.687,0.029,0.514,1.0,0.06,0.009,0.006,0.185,0.0,1.851,0.998,1.046,0.0,0.176,1.0,0.095,stationary
0.298,0.035,0.337,0.009,0.636,1.0,0.057,0.002,0.077,0.161,0.0,0.157,0.679,2.436,0.0,0.126,1.0,0.097,stationary
0.277,0.048,0.121,0.033,0.934,1.0,0.024,0.008,0.059,0.025,0.0,1.353,0.786,2.433,0.0,0.146,1.0,0.061,stationary
0.539,0.017,0.361,0.01,0.432,1.0,0.067,0.002,0.038,0.184,0.0,0.688,0.576,0.707,0.0,0.014,1.0,0.002,stationary
0.149,0.036,0.78,0.02,0.688,1.0,0.046,0.001,0.017,0.037,0.0,1.102,0.378,1.816,0.0,0.152,1.0,0.006,stationary
0.446,0.024,0.053,0.016,0.126,1.0,0.024,0.003,0.019,0.041,0.0,0.342,0.065,0.275,0.0,0.049,1.0,0.089,stationary
0.291,0.036,0.234,0.024,0.264,1.0,0.067,0.003,0.001,0.055,0.0,0.635,0.608,0.327,0.0,0.029,1.0,0.087,stationary
0.43,0.005,0.539,0.007,0.573,1.0,0.001,0.002,0.025,0.053,0.0,1.955,0.551,1.657,0.0,0.075,1.0,0.083,stationary
0.572,0.021,0.294,0.042,0.827,1.0,0.034,0.003,0.063,0.046,0.0,0.083,0.261,1.897,0.0,0.106,1.0,0.024,stationary
0.238,0.006,0.323,0.027,0.458,1.0,0.035,0.008,0.016,0.094,0.0,0.874,0.724,0.548,0.0,0.05,1.0,0.029,stationary
0.1,0.013,0.597,0.036,0.861,1.0,0.008,0.003,0.073,0.114,0.0,0.708,0.47,2.101,0.0,0.053,1.0,0.053,stationary
0.196,0.021,0.633,0.023,0.845,1.0,0.054,0.002,0.012,0.062,0.0,1.739,0.517,2.402,0.0,0.061,1.0,0.033,stationary
0.006,0.042,0.478,0.045,0.733,1.0,0.018,0.002,0.086,0.047,0.0,0.03,0.434,1.879,0.0,0.017,1.0,0.017,stationary
0.257,0.011,0.293,0.045,0.565,1.0,0.062,0.006,0.03,0.124,0.0,1.819,0.608,1.1,0.0,0.013,1.0,0.052,stationary
0.038,0.044,0.128,0.02,0.87,1.0,0.059,0.002,0.005,0.049,0.0,0.132,0.605,0.807,0.0,0.104,1.0,0.052,stationary
0.173,0.003,0.897,0.03,0.811,1.0,0.014,0.002,0.079,0.028,0.0,1.895,0.924,1.423,0.0,0.143,1.0,0.072,stationary
0.007,0.013,0.593,0.028,0.472,1.0,0.006,0.003,0.013,0.024,0.0,1.296,0.692,2.415,0.0,0.11,1.0,0.029,stationary
0.451,0.023,0.507,0.032,0.863,1.0,0.034,0.002,0.085,0.186,0.0,1.4,0.179,0.769,0.0,0.138,1.0,0.073,stationary
0.14,0.027,0.028,0.019,0.249,1.0,0.002,0.004,0.073,0.193,0.0,0.14,0.128,0.35,0.0,0.127,1.0,0.055,stationary
0.581,0.026,0.465,0.01,0.719,1.0,0.022,0.006,0.067,0.045,0.0,1.384,0.11,0.284,0.0,0.053,1.0,0.075,stationary
0.496,0.027,0.822,0.035,0.334,1.0,0.076,0.009,0.066,0.142,0.0,1.983,0.22,0.436,0.0,0.158,1.0,0.084,stationary
0.109,0.045,0.539,0.008,0.272,1.0,0.028,0.002,0.043,0.049,0.0,1.242,0.362,1.809,0.0,0.029,1.0,0.048,stationary
0.167,0.025,0.268,0.046,0.747,1.0,0.006,0.008,0.002,0.033,0.0,1.948,0.406,0.669,0.0,0.09,1.0,0.091,stationary
0.494,0.019,0.425,0.035,0.421,1.0,0.062,0.004,0.082,0.069,0.0,1.569,0.39,0.896,0.0,0.163,1.0,0.07,stationary
0.111,0.046,0.477,0.007,0.636,1.0,0.033,0.003,0.086,0.163,0.0,1.77,0.628,2.039,0.0,0.01,1.0,0.012,stationary
0.34,0.016,0.205,0.033,0.666,1.0,0.06,0.001,0.059,0.029,0.0,1.205,0.079,1.152,0.0,0.072,1.0,0.056,stationary
0.588,0.048,0.225,0.017,0.148,1.0,0.028,0.004,0.031,0.042,0.0,1.271,0.121,0.443,0.0,0.119,1.0,0.053,stationary
0.327,0.027,0.64,0.013,0.87,1.0,0.059,0.006,0.07,0.013,0.0,0.46,0.274,2.028,0.0,0.053,1.0,0.077,stationary
0.514,0.031,0.658,0.011,0.133,1.0,0.052,0.001,0.049,0.041,0.0,0.717,0.47,0.202,0.0,0.054,1.0,0.08,stationary
0.482,0.036,0.307,0.033,0.827,1.0,0.046,0.01,0.068,0.177,0.0,1.312,0.64,0.879,0.0,0.096,1.0,0.056,stationary
0.396,0.009,0.305,0.013,0.93,1.0,0.076,0.008,0.058,0.112,0.0,0.735,0.17,0.181,0.0,0.049,1.0,0.066,stationary
