gps_speed_avg,gps_speed_var,gps_speed_max,gps_accel_rms,heading_change_rate,stop_frequency,accel_magnitude_mean,accel_magnitude_var,accel_rms,accel_jerk_mean,accel_peak_freq,gyro_magnitude_mean,gyro_magnitude_var,gyro_rms,cadence_steps_per_min,transit_corridor_overlap,dwell_time_ratio,ble_beacon_proximity,label
4.655,0.427,6.292,0.104,6.785,0.05,2.319,2.262,2.086,6.036,1.872,42.704,382.098,63.094,101.5,0.174,0.084,0.007,walking
4.087,0.508,5.383,0.102,7.19,0.1,1.431,2.504,3.054,8.638,2.086,25.316,327.87,37.256,116.0,0.024,0.005,0.01,walking
3.541,0.169,5.339,0.138,8.375,0.109,2.73,1.205,2.612,6.719,1.697,42.449,251.848,67.282,120.0,0.066,0.013,0.006,walking
3.496,0.439,4.947,0.39,3.006,0.115,2.568,2.223,2.238,9.498,2.136,23.649,156.131,29.79,95.6,0.043,0.095,0.045,walking
3.93,0.483,4.994,0.226,9.582,0.07,1.547,2.223,2.487,4.68,1.92,25.699,272.418,35.698,108.1,0.028,0.077,0.018,walking
3.002,0.491,3.665,0.301,6.431,0.099,1.312,2.099,1.741,7.978,2.033,28.251,290.338,47.582,110.3,0.032,0.031,0.032,walking
5.134,0.28,5.832,0.27,10.993,0.003,1.216,1.383,2.138,7.128,2.053,52.394,225.814,56.987,103.6,0.094,0.025,0.023,walking
4.667,0.252,5.225,0.341,3.28,0.113,2.025,0.842,2.007,6.371,1.89,43.271,235.449,33.082,109.7,0.234,0.011,0.03,walking
5.587,0.32,6.665,0.353,10.084,0.114,2.064,3.194,1.988,6.948,1.843,54.003,327.993,41.376,115.6,0.206,0.028,0.036,walking
5.602,0.401,6.453,0.323,8.273,0.065,1.507,1.641,1.837,7.595,1.901,48.081,374.98,36.19,122.3,0.023,0.06,0.014,walking
3.532,0.208,4.789,0.263,8.428,0.011,1.218,1.877,2.944,4.757,2.147,40.46,354.88,35.112,97.7,0.038,0.063,0.014,walking
4.17,0.44,5.485,0.221,6.48,0.124,2.249,2.78,2.909,8.445,1.856,56.744,139.581,50.879,123.5,0.25,0.048,0.023,walking
4.164,0.354,5.592,0.29,6.897,0.149,2.781,1.175,2.578,4.463,2.028,56.556,197.751,44.808,105.8,0.212,0.003,0.01,walking
3.191,0.324,4.649,0.361,6.788,0.075,1.583,1.948,2.055,9.283,1.981,29.992,294.903,53.177,96.3,0.085,0.056,0.046,walking
5.676,0.29,7.272,0.318,7.247,0.08,2.019,2.226,2.044,5.92,2.092,34.795,342.877,49.612,129.8,0.219,0.028,0.005,walking
3.482,0.551,4.992,0.198,11.126,0.123,2.739,1.405,3.47,8.189,1.846,47.182,340.491,48.468,102.7,0.105,0.08,0.037,walking
3.327,0.21,4.467,0.281,10.664,0.124,1.42,2.399,1.646,9.715,2.046,29.951,383.021,44.399,118.2,0.232,0.079,0.011,walking
4.541,0.259,6.024,0.232,7.796,0.131,2.358,2.088,2.16,8.924,1.828,39.498,238.227,67.538,125.8,0.068,0.031,0.039,walking
5.713,0.314,6.519,0.383,7.377,0.114,1.859,2.611,3.273,5.458,1.794,56.582,153.638,56.843,106.3,0.098,0.042,0.031,walking
4.77,0.552,5.962,0.187,8.754,0.13,1.86,2.495,2.575,4.792,2.127,39.453,245.154,66.087,110.7,0.229,0.041,0.025,walking
5.708,0.147,7.497,0.269,10.59,0.048,1.659,2.988,1.848,6.729,2.157,54.958,351.01,44.544,123.4,0.029,0.016,0.013,walking
4.401,0.529,5.171,0.234,5.959,0.074,2.049,1.515,3.096,4.967,1.939,45.651,282.904,58.967,98.7,0.199,0.041,0.006,walking
4.87,0.461,6.42,0.282,4.439,0.041,1.332,1.798,2.021,4.399,1.86,43.858,101.736,42.745,108.0,0.213,0.05,0.042,walking
4.824,0.185,5.386,0.115,7.961,0.108,2.143,2.125,2.401,6.687,1.772,26.214,332.907,45.138,95.6,0.144,0.039,0.044,walking
4.56,0.177,6.048,0.1,3.933,0.005,2.394,1.21,1.626,9.919,1.634,34.508,385.643,42.307,127.8,0.221,0.075,0.038,walking
4.494,0.276,5.416,0.268,7.782,0.008,1.822,1.35,2.884,6.404,2.006,26.729,318.58,69.489,106.4,0.045,0.031,0.013,walking
5.307,0.511,5.888,0.248,3.158,0.082,2.583,3.128,2.666,4.246,1.795,38.195,318.273,55.21,110.1,0.195,0.083,0.022,walking
5.432,0.552,6.871,0.351,7.314,0.062,1.264,1.945,2.373,6.066,2.126,33.207,127.599,52.04,104.1,0.105,0.035,0.01,walking
4.605,0.532,5.712,0.141,4.336,0.115,2.034,2.966,1.596,8.709,1.865,54.176,157.805,50.102,126.2,0.15,0.003,0.042,walking
4.121,0.272,5.014,0.196,6.962,0.039,2.312,3.02,2.522,8.488,1.655,32.465,283.151,43.409,99.9,0.241,0.023,0.015,walking
3.792,0.222,4.505,0.314,8.122,0.145,1.393,1.835,1.59,6.024,2.085,37.998,101.065,54.727,125.3,0.249,0.099,0.031,walking
4.044,0.451,4.737,0.193,3.582,0.115,1.259,2.888,1.566,5.695,1.716,25.002,309.392,30.723,128.7,0.129,0.097,0.02,walking
4.841,0.262,6.06,0.202,5.866,0.134,2.455,1.644,1.548,9.645,2.077,47.535,221.582,51.916,117.1,0.2,0.077,0.017,walking
4.409,0.176,5.808,0.34,11.433,0.015,2.531,1.324,1.79,4.814,1.958,47.278,232.807,35.189,110.6,0.009,0.001,0.02,walking
3.821,0.411,4.944,0.314,7.556,0.076,1.91,2.817,2.432,7.747,1.857,56.617,310.301,44.169,117.0,0.237,0.021,0.014,walking
3.224,0.13,4.201,0.215,9.373,0.016,1.215,2.237,3.248,8.68,1.813,49.717,116.272,64.33,122.8,0.094,0.029,0.031,walking
5.179,0.335,6.593,0.399,11.773,0.056,1.907,1.322,2.03,7.864,2.021,42.932,240.674,43.527,122.3,0.214,0.098,0.033,walking
4.714,0.352,6.463,0.201,10.057,0.14,2.665,1.69,3.408,4.278,1.779,38.646,151.815,62.174,122.0,0.2,0.012,0.032,walking
3.553,0.205,5.176,0.348,4.887,0.046,2.019,2.777,3.279,6.824,1.729,24.578,365.235,65.278,114.3,0.037,0.052,0.001,walking
3.457,0.372,4.977,0.215,3.699,0.044,2.207,1.923,2.908,4.239,1.97,48.592,303.953,43.607,107.6,0.01,0.01,0.007,walking
5.666,0.16,6.866,0.243,4.122,0.009,1.513,1.468,3.06,8.851,1.859,58.225,302.286,25.347,111.5,0.218,0.035,0.001,walking
4.498,0.412,5.212,0.213,4.686,0.134,1.598,3.038,1.642,4.45,2.157,41.973,210.059,49.551,101.2,0.211,0.003,0.017,walking
5.46,0.277,6.263,0.368,9.706,0.15,2.494,1.568,3.378,7.032,1.755,26.338,243.195,36.002,98.1,0.205,0.029,0.045,walking
3.672,0.333,5.153,0.108,5.522,0.067,1.999,1.149,3.123,4.667,1.729,42.273,237.413,41.34,123.0,0.058,0.057,0.003,walking
3.785,0.59,5.006,0.204,3.624,0.126,2.405,2.821,2.212,8.325,1.665,39.195,208.143,26.089,127.5,0.093,0.078,0.042,walking
4.66,0.324,5.508,0.147,7.551,0.142,2.627,2.768,3.478,9.239,1.932,48.769,281.122,35.277,125.0,0.149,0.022,0.008,walking
4.13,0.22,5.386,0.319,10.809,0.115,2.53,2.721,2.389,4.53,2.139,35.421,386.068,44.962,100.8,0.153,0.034,0.023,walking
4.734,0.355,5.235,0.333,6.444,0.12,2.155,1.975,3.38,6.543,1.601,57.492,226.597,63.966,106.3,0.094,0.006,0.036,walking
3.26,0.101,3.761,0.187,11.182,0.059,2.558,2.008,2.015,8.158,1.65,43.373,321.075,64.948,121.3,0.025,0.033,0.026,walking
5.008,0.277,6.647,0.27,4.432,0.059,1.254,2.683,1.861,5.641,1.939,39.134,302.491,29.745,107.8,0.047,0.041,0.016,walking
3.804,0.122,5.316,0.234,4.642,0.087,2.245,1.147,2.486,6.837,1.778,38.422,382.729,30.247,98.4,0.011,0.001,0.009,walking
5.606,0.501,6.77,0.154,7.991,0.018,1.66,1.369,1.652,7.074,1.8,52.289,392.985,57.761,124.0,0.203,0.078,0.026,walking
3.559,0.344,4.956,0.384,4.602,0.083,1.237,2.926,3.042,6.482,1.633,49.004,296.127,38.806,114.2,0.17,0.072,0.019,walking
4.847,0.412,6.148,0.367,5.581,0.011,2.68,1.513,2.18,6.17,2.108,24.756,315.585,40.733,98.6,0.242,0.082,0.036,walking
4.392,0.13,5.72,0.256,6.334,0.13,2.594,2.154,2.716,9.53,2.049,21.882,231.837,63.953,113.7,0.115,0.036,0.037,walking
4.888,0.531,6.152,0.277,10.339,0.124,2.479,1.746,2.096,9.219,1.609,22.598,241.194,57.321,128.6,0.193,0.086,0.035,walking
5.353,0.226,5.935,0.246,7.562,0.095,2.568,2.139,2.562,5.183,1.674,25.441,399.948,29.012,95.6,0.134,0.089,0.002,walking
4.141,0.363,4.91,0.146,4.821,0.12,2.177,2.243,1.541,9.327,1.635,31.32,257.074,45.593,102.5,0.086,0.037,0.033,walking
3.482,0.176,5.056,0.22,10.257,0.095,1.535,2.11,1.973,9.385,1.86,27.914,294.847,29.9,104.7,0.196,0.07,0.028,walking
3.59,0.311,4.302,0.139,7.91,0.007,2.489,1.646,2.209,5.863,2.025,45.094,397.263,60.092,113.5,0.001,0.047,0.038,walking
4.765,0.557,5.42,0.244,5.935,0.002,2.353,2.952,1.957,8.727,1.608,56.816,316.79,63.009,98.0,0.199,0.02,0.019,walking
4.231,0.451,5.102,0.158,3.04,0.112,2.599,2.322,1.461,7.193,2.088,56.033,157.012,50.8,117.7,0.095,0.045,0.003,walking
4.861,0.237,6.102,0.327,3.908,0.127,2.317,1.868,2.614,7.158,2.12,36.21,168.73,48.92,100.8,0.102,0.046,0.015,walking
3.855,0.218,5.352,0.129,5.012,0.104,1.845,1.801,2.875,6.616,2.03,22.029,284.552,57.052,126.7,0.007,0.043,0.002,walking
3.807,0.254,4.537,0.183,9.771,0.076,1.95,1.068,1.57,7.435,1.681,54.163,386.302,31.747,127.9,0.173,0.083,0.039,walking
5.495,0.358,6.422,0.168,11.804,0.018,1.468,1.545,3.02,5.798,2.117,39.357,158.327,43.116,124.2,0.092,0.017,0.008,walking
4.939,0.14,6.398,0.324,7.448,0.047,2.096,1.962,2.755,4.535,1.877,55.026,160.268,28.939,108.4,0.174,0.022,0.04,walking
5.264,0.588,6.196,0.333,6.77,0.003,2.703,1.852,1.753,8.332,1.853,34.077,311.961,66.677,101.0,0.121,0.023,0.003,walking
3.845,0.384,4.69,0.163,6.174,0.007,2.357,2.556,2.068,5.064,2.019,35.372,218.522,39.421,124.4,0.169,0.062,0.01,walking
3.658,0.263,4.271,0.348,6.246,0.085,2.045,1.803,2.317,7.168,2.037,53.439,382.686,48.615,127.4,0.241,0.024,0.04,walking
5.056,0.333,5.859,0.236,8.826,0.15,1.349,1.384,3.15,9.861,2.0,37.034,243.949,49.045,121.1,0.168,0.045,0.007,walking
4.964,0.16,6.033,0.331,4.642,0.071,1.737,3.113,3.254,7.439,2.134,53.737,392.367,34.029,104.4,0.155,0.032,0.015,walking
5.373,0.468,7.021,0.395,7.473,0.092,1.818,2.53,3.454,6.215,2.078,52.015,393.878,68.614,98.4,0.072,0.037,0.025,walking
4.896,0.114,5.455,0.134,3.562,0.063,1.85,0.824,1.806,5.391,2.013,50.132,188.184,50.511,126.3,0.017,0.027,0.025,walking
3.442,0.459,4.253,0.153,4.206,0.038,1.363,1.063,1.977,9.28,2.098,36.575,139.345,46.235,121.3,0.175,0.084,0.04,walking
5.791,0.552,6.574,0.368,8.584,0.144,1.838,2.065,2.465,9.64,2.14,52.573,369.68,40.724,127.2,0.092,0.072,0.046,walking
4.637,0.288,5.978,0.129,5.188,0.059,2.336,1.726,2.62,4.705,1.781,34.676,393.008,65.147,127.9,0.072,0.045,0.045,walking
